id,ms,series
01,57.867146,heatmap_mapd
02,48.003416,heatmap_mapd
03,62.785494,heatmap_mapd
04,65.371193,heatmap_mapd
05,53.480142,heatmap_mapd
06,53.313415,heatmap_mapd
07,53.881495,heatmap_mapd
08,46.615886,heatmap_mapd
09,49.056501,heatmap_mapd
10,54.634448,heatmap_mapd
11,47.46574,heatmap_mapd
12,48.892661,heatmap_mapd
13,53.334342,heatmap_mapd
14,51.702171,heatmap_mapd
15,50.369153,heatmap_mapd
16,60.674767,heatmap_mapd
17,45.9004,heatmap_mapd
18,54.92936,heatmap_mapd
19,48.452434,heatmap_mapd
20,55.227422,heatmap_mapd
21,56.071589,heatmap_mapd
22,55.459965,heatmap_mapd
23,52.557681,heatmap_mapd
24,51.440964,heatmap_mapd
25,44.360542,heatmap_mapd
26,54.119022,heatmap_mapd
27,47.475487,heatmap_mapd
28,59.55997,heatmap_mapd
29,50.238888,heatmap_mapd
30,44.668655,heatmap_mapd
31,47.711608,heatmap_mapd
32,41.514221,heatmap_mapd
33,47.525056,heatmap_mapd
34,50.506873,heatmap_mapd
01,173.604686,heatmap_mongo
02,174.648681,heatmap_mongo
03,173.824518,heatmap_mongo
04,179.891767,heatmap_mongo
05,176.27193,heatmap_mongo
06,175.636833,heatmap_mongo
07,176.403145,heatmap_mongo
08,176.978925,heatmap_mongo
09,174.614168,heatmap_mongo
10,177.230619,heatmap_mongo
11,181.467207,heatmap_mongo
12,176.086436,heatmap_mongo
13,193.285062,heatmap_mongo
14,181.190802,heatmap_mongo
15,181.89342,heatmap_mongo
16,188.716403,heatmap_mongo
17,182.782963,heatmap_mongo
18,180.51021,heatmap_mongo
19,176.72767,heatmap_mongo
20,186.383566,heatmap_mongo
21,181.879274,heatmap_mongo
22,184.974456,heatmap_mongo
23,178.516133,heatmap_mongo
24,186.974712,heatmap_mongo
25,192.699774,heatmap_mongo
26,194.996757,heatmap_mongo
27,182.597538,heatmap_mongo
28,177.40581,heatmap_mongo
29,179.254204,heatmap_mongo
30,184.116221,heatmap_mongo
31,180.404932,heatmap_mongo
32,181.684949,heatmap_mongo
33,199.366202,heatmap_mongo
34,178.256918,heatmap_mongo
01,215.95921,heatmap_mysql
02,214.538289,heatmap_mysql
03,218.075868,heatmap_mysql
04,214.101256,heatmap_mysql
05,228.267328,heatmap_mysql
06,226.297946,heatmap_mysql
07,212.906813,heatmap_mysql
08,222.039169,heatmap_mysql
09,222.68764,heatmap_mysql
10,228.780876,heatmap_mysql
11,225.836785,heatmap_mysql
12,224.897111,heatmap_mysql
13,224.01273,heatmap_mysql
14,212.912626,heatmap_mysql
15,218.785308,heatmap_mysql
16,215.996222,heatmap_mysql
17,237.792431,heatmap_mysql
18,214.725294,heatmap_mysql
19,214.376873,heatmap_mysql
20,222.845259,heatmap_mysql
21,218.271139,heatmap_mysql
22,224.440346,heatmap_mysql
23,218.183426,heatmap_mysql
24,219.190145,heatmap_mysql
25,214.156454,heatmap_mysql
26,224.583658,heatmap_mysql
27,220.974161,heatmap_mysql
28,216.653052,heatmap_mysql
29,214.192569,heatmap_mysql
30,220.083778,heatmap_mysql
31,216.08593,heatmap_mysql
32,216.679316,heatmap_mysql
33,239.271212,heatmap_mysql
34,293.405956,heatmap_mysql